Nom_commune;Code_Commune;Nom_commune;Code_Canton;Nom_Canton;Code_Canton
SONZAY;37249;SONZAY;3716;NEUILLE PONT PIERRE;3716
SORIGNY;37250;SORIGNY;3714;MONTBAZON;3714
souvigné;37251;souvigné;3705;CHATEAU LA VALLIERE;3705
SOUVIGNY DE TOURAINE;37252;SOUVIGNY DE TOURAINE;3701;AMBOISE;3701
SUBLAINES;37253;SUBLAINES;3703;BLERE;3703
TAUXIGNY;37254;TAUXIGNY;3713;LOCHES;3713
TAVANT;37255;TAVANT;3710;L'ILE BOUCHARD;3710
THENEUIL;37256;THENEUIL;3710;L'ILE BOUCHARD;3710
THILOUZE;37257;THILOUZE;3702;AZAY LE RIDEAU;3702
THIZAY;37258;THIZAY;3707;CHINON;3707
TOURNON SAINT PIERRE;37259;TOURNON SAINT PIERRE;3718;PREUILLY SUR CLAISE;3718
LA TOUR SAINT GELIN;37260;LA TOUR SAINT GELIN;3719;RICHELIEU;3719
TOURS;37261;TOURS;3721;TOURS;3721
TROGUES;37262;TROGUES;3710;L'ILE BOUCHARD;3710
TRUYES;37263;TRUYES;3734;CHAMBRAY LES TOURS;3734
vallères;37264;vallères;3702;AZAY LE RIDEAU;3702
VARENNES;37265;VARENNES;3712;LIGUEIL;3712
veigné;37266;veigné;3714;MONTBAZON;3714
véretz;37267;véretz;3737;MONTLOUIS SUR LOIRE;3737
VERNEUIL LE CHATEAU;37268;VERNEUIL LE CHATEAU;3719;RICHELIEU;3719
VERNEUIL SUR INDRE;37269;VERNEUIL SUR INDRE;3713;LOCHES;3713
VERNOU SUR BRENNE;37270;VERNOU SUR BRENNE;3724;VOUVRAY;3724
VILLAINES LES ROCHERS;37271;VILLAINES LES ROCHERS;3702;AZAY LE RIDEAU;3702
VILLANDRY;37272;VILLANDRY;3731;BALLAN MIRE;3731
LA VILLE AUX DAMES;37273;LA VILLE AUX DAMES;3737;MONTLOUIS SUR LOIRE;3737
VILLEBOURG;37274;VILLEBOURG;3717;NEUVY LE ROI;3717
VILLEDOMAIN;37275;VILLEDOMAIN;3715;MONTRESOR;3715
villedômer;37276;villedômer;3706;CHATEAU RENAULT;3706
VILLELOIN COULANGE;37277;VILLELOIN COULANGE;3715;MONTRESOR;3715
VILLEPERDUE;37278;VILLEPERDUE;3714;MONTBAZON;3714
VILLIERS AU BOUIN;37279;VILLIERS AU BOUIN;3705;CHATEAU LA VALLIERE;3705
VOU;37280;VOU;3712;LIGUEIL;3712
VOUVRAY;37281;VOUVRAY;3724;VOUVRAY;3724
YZEURE SUR-CREUSE;37282;YZEURE SUR-CREUSE;3718;PREUILLY SUR CLAISE;3718
